name,form
Владислав Шапша,"['Владислав Шапша Валерьевич', 'Шапша', 'Шапша Владислав', 'Шапша Владислав Валерьевич']"
Сергей Цивилёв,"['Сергей Цивилёв Евгеньевич', 'Сергей Цивилёва', 'Сергей Цивилёве', 'Сергей Цивилёву', 'Сергей Цивилёвым', 'Цивилёв', 'Цивилёв Сергей', 'Цивилёв Сергей Евгеньевич', 'Цивилёва', 'Цивилёва Сергей', 'Цивилёве', 'Цивилёве Сергей', 'Цивилёву', 'Цивилёву Сергей', 'Цивилёвым', 'Цивилёвым Сергей']"
Александр Соколов,"['Александр Соколов Валентинович', 'Александр Соколова', 'Александр Соколове', 'Александр Соколову', 'Александр Соколовым', 'Соколов', 'Соколов Александр', 'Соколов Александр Валентинович', 'Соколова', 'Соколова Александр', 'Соколове', 'Соколове Александр', 'Соколову', 'Соколову Александр', 'Соколовым', 'Соколовым Александр']"
Сергей Ситников,"['Сергей Ситников Константинович', 'Сергей Ситникова', 'Сергей Ситникове', 'Сергей Ситникову', 'Сергей Ситниковым', 'Ситников', 'Ситников Сергей', 'Ситников Сергей Константинович', 'Ситникова', 'Ситникова Сергей', 'Ситникове', 'Ситникове Сергей', 'Ситникову', 'Ситникову Сергей', 'Ситниковым', 'Ситниковым Сергей']"
Вадим Шумков,"['Вадим Шумков Михайлович', 'Вадим Шумкова', 'Вадим Шумкове', 'Вадим Шумкову', 'Вадим Шумковым', 'Шумков', 'Шумков Вадим', 'Шумков Вадим Михайлович', 'Шумкова', 'Шумкова Вадим', 'Шумкове', 'Шумкове Вадим', 'Шумкову', 'Шумкову Вадим', 'Шумковым', 'Шумковым Вадим']"
Роман Старовойт,"['Роман Старовойт Владимирович', 'Роман Старовойта', 'Роман Старовойте', 'Роман Старовойту', 'Роман Старовойтым', 'Старовойт', 'Старовойт Роман', 'Старовойт Роман Владимирович', 'Старовойта', 'Старовойта Роман', 'Старовойте', 'Старовойте Роман', 'Старовойту', 'Старовойту Роман', 'Старовойтым', 'Старовойтым Роман']"
Александр Дрозденко,"['Александр Дрозденко Юрьевич', 'Дрозденко', 'Дрозденко Александр', 'Дрозденко Александр Юрьевич']"
Игорь Артамонов,"['Артамонов', 'Артамонов Игорь', 'Артамонов Игорь Георгиевич', 'Артамонова', 'Артамонова Игорь', 'Артамонове', 'Артамонове Игорь', 'Артамонову', 'Артамонову Игорь', 'Артамоновым', 'Артамоновым Игорь', 'Игорь Артамонов Георгиевич', 'Игорь Артамонова', 'Игорь Артамонове', 'Игорь Артамонову', 'Игорь Артамоновым']"
Сергей Носов,"['Носов', 'Носов Сергей', 'Носов Сергей Константинович', 'Носова', 'Носова Сергей', 'Носове', 'Носове Сергей', 'Носову', 'Носову Сергей', 'Носовым', 'Носовым Сергей', 'Сергей Носов Константинович', 'Сергей Носова', 'Сергей Носове', 'Сергей Носову', 'Сергей Носовым']"
Андрей Воробьёв,"['Андрей Воробьёв Юрьевич', 'Андрей Воробьёва', 'Андрей Воробьёве', 'Андрей Воробьёву', 'Андрей Воробьёвым', 'Воробьёв', 'Воробьёв Андрей', 'Воробьёв Андрей Юрьевич', 'Воробьёва', 'Воробьёва Андрей', 'Воробьёве', 'Воробьёве Андрей', 'Воробьёву', 'Воробьёву Андрей', 'Воробьёвым', 'Воробьёвым Андрей']"
